,Identifiant,Quantite2003,Nom_Etablissement_x,LLX,LLY,Quantite2004,Quantite2005,Quantite2006,Quantite2007,Quantite2008,Quantite2009,Quantite2010,Quantite2011,Quantite2012,Quantite2013,Quantite2014,Quantite2015,Quantite2016,Quantite2017
0,51.00164,181.91000000000003,DSM Composite Resins France,2.8261620088737454,49.41675587410393,0,460.88,414.8500000000001,490.79999999999995,407.08,393.774,316.049,315.06700000000006,440.83,302.79,192.4,0,0,0
1,51.00177,4735.0,Société Picardie Régénération,3.2183956927431563,49.61620219279074,6010.0,5345.954,5956.6359999999995,5907.592000000001,5955.44,4708.22,4277.97,4883.92,5519.439999999999,6676.16,6204.14,5798.57,5821.48,6762.5700000000015
2,51.00185,137.7,ARKEMA Usine de Chauny,3.2183956927431563,49.61620219279074,208.4,21786.0,23764.9,26110.279999999995,23862.614999999998,193.66,210.53700000000003,201.76000000000002,1536.3200000000002,426.65999999999997,1708.1100000000004,340.04,2.196,82.74
3,51.0019,68674.0,Dow France SAS - Site de Chauny,3.2183956927431563,49.61620219279074,60546.0,58997.355,63255.967,69087.536,59330.48,48793.973,43760.567,32994.576,17548.117,18815.512,19894.629,18979.38,12206.373000000001,11858.519
4,51.001909999999995,286.6,NEXANS WIRES CHAUNY,3.2300000047082618,49.61000196801458,412.7,392.6,340.36,266.02,336.122,0,0,0,0,0,0,0,0,0
5,51.00196,825.2,SCCC ( Société de coulée Continue de Cuivre ),3.2183956927431563,49.61620219279074,634.8,753.3,535.77,255.7794,0,0,0,0,0,0,0,0,0,0
6,51.00257,143.96599999999998,VERALLIA-VAUXROT,3.3626856610216764,49.40340272507535,58.120000000000005,383.36,79.11,491.39,536.977,545.229,1839.912,288.28899999999993,435.29299999999995,390.07000000000005,313.08,343.67999999999995,419.633,389.0109999999999
7,51.00277,403.0,DEFTA ESSOMES,3.3742443822650237,49.029277837110925,567.6,593.0,470.0,439.05000000000007,556.4899999999999,414.62100000000004,393.2668,251.952,250.76999999999998,145.353,177.95299999999997,262.36799999999994,34.409,17.604000000000003
8,51.00333,7.2,LE CREUSET SAS,3.4121013728978906,49.95016648033703,3.2529999999999997,0,50.535999999999994,25.650999999999996,70.16099999999999,34.317,15.587000000000002,45.767,24.058000000000003,13.198,24.069999999999997,171.02,41.615,65.037
9,51.00349,420.43,SOPROCOS,3.280160955099047,49.84909720602041,304.91999999999996,306.75,265.31000000000006,379.20099999999996,281.592,305.679,378.67,278.79400000000004,275.361,394.274,635.232,502.289,580.01,533.97
10,51.004,177.03,CROWN Food France,3.6349534613790664,49.56943304911961,0,185.76,276.07,402.08,383.86,312.4,581.1572,537.5790000000001,563.2060000000001,517.21,0,392.4,405.55400000000003,364.79001
11,51.00411,87.9,ATAL,3.6349534613790664,49.56943304911961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,51.00477,83.36,Décapage de l'Aisne,3.280160955099047,49.84909720602041,112.69999999999999,90.55999999999999,106.5,123.8,117.4,79.1,32.06,452.09999999999997,447.3,590.1,409.0,246.97,141.76,0
13,51.00692,8.09,Chaufferie de la ZAC de Presles,3.327886631410822,49.375017514743384,8.7,11.328000000000001,0,13.799000000000001,12.698,36.75,0,0,0,0,0,0,0,0
14,51.008390000000006,72.593,PRYSMIAN Câbles et Système France,2.328251588157985,49.32838182625942,76.04100000000001,92.122,63.262,96.19,67.738,53.43999999999998,82.768,72.953,73.136,42.54,20.038,62.35199999999999,0,0
15,51.00886,2409.0,GIMA - Groupement International de Mécanique Agricole,2.0863596638761264,49.4361799557425,1896.1789999999999,2196.7999999999997,2491.1099999999997,1613.7290000000003,955.369,756.681,569.8,837.733,533.496,396.76700000000005,436.8629999999999,1648.5619999999997,1602.4900000000002,1735.9508
16,51.00907,204.0,BEREZECKI SA,2.0863596638761264,49.4361799557425,180.0,156.0,154.0,198.68,8544.18,114.656,141.82,127.267,138.064,114.939,125.0,109.42999999999999,99.70599999999999,86.457
